geo,time,dc_dac_prtl_cd
geo,2019,119999.99732
gha,2012,9999.99978
gha,2015,9999.99978
gha,2016,0
gha,2017,9999.99978
gha,2018,9999.99978
gin,2006,9999.99978
gin,2007,79999.99821
gin,2008,39999.99911
gin,2009,19999.99955
gin,2010,39999.99911
gin,2011,129999.99523
gin,2012,180000.00715
gin,2013,119999.99732
gin,2014,19999.99955
gin,2016,70000.0003
gin,2017,29999.99933
gin,2018,29999.99933
gmb,2012,0
gmb,2013,9999.99978
gmb,2016,39999.99911
gmb,2017,19999.99955
gmb,2018,0
gmb,2019,59999.99866
gnb,1961,810000.00238
gnb,1966,1149999.97616
gnb,1967,509999.99046
gnb,1989,12340000.15259
gnb,1990,13279999.73297
gnb,1991,13859999.65668
gnb,1992,14029999.73297
gnb,1993,13829999.92371
gnb,1994,83370002.74658
gnb,1995,13250000
gnb,1996,30659999.84741
gnb,1997,16219999.31335
gnb,1998,10760000.22888
gnb,1999,13810000.41962
gnb,2000,15029999.73297
gnb,2001,13380000.11444
gnb,2002,6639999.86649
gnb,2003,8250000
gnb,2004,12130000.11444
gnb,2005,13520000.45776
gnb,2006,14760000.22888
gnb,2007,15770000.45776
gnb,2008,17840000.15259
gnb,2009,14430000.30518
gnb,2010,15720000.26703
gnb,2011,13670000.07629
gnb,2012,9510000.22888
gnb,2013,8039999.96185
gnb,2014,11159999.84741
gnb,2015,13850000.38147
gnb,2016,12970000.26703
gnb,2017,10640000.34332
gnb,2018,12899999.61853
gnb,2019,18729999.54224
gnq,2000,19999.99955
gnq,2004,50000.00075
gnq,2005,50000.00075
gnq,2006,50000.00075
gnq,2011,9999.99978
gnq,2013,39999.99911
gnq,2014,140000.0006
gnq,2015,70000.0003
gnq,2016,90000.00358
gnq,2017,19999.99955
gnq,2018,39999.99911
gnq,2019,90000.00358
gtm,1996,170000.00179
gtm,1998,39999.99911
gtm,2001,250000
gtm,2006,19999.99955
gtm,2008,59999.99866
gtm,2010,119999.99732
gtm,2012,29999.99933
hnd,1998,360000.01431
hnd,1999,119999.99732
hnd,2000,19999.99955
hnd,2001,150000.00596
hnd,2008,59999.99866
hnd,2012,9999.99978
hnd,2019,39999.99911
hrv,2001,39999.99911
hrv,2002,100000.00149
hrv,2004,9999.99978
hrv,2005,50000.00075
hrv,2006,79999.99821
hrv,2007,119999.99732
hrv,2008,119999.99732
hrv,2009,79999.99821
hrv,2010,29999.99933
hti,1995,300000.01192
hti,1998,90000.00358
hti,1999,90000.00358
hti,2004,289999.99166
hti,2005,250000
hti,2006,159999.99642
hti,2007,170000.00179
hti,2008,180000.00715
hti,2010,109999.9994
hti,2011,469999.99881
hti,2012,9999.99978
hti,2013,100000.00149
hti,2014,159999.99642
hti,2016,9999.99978
hti,2017,59999.99866
hti,2018,39999.99911
hti,2019,0
hun,1996,70000.0003
hun,1997,9999.99978
hun,1998,9999.99978
hun,2000,119999.99732
hun,2001,70000.0003
hun,2002,70000.0003
hun,2003,9999.99978
hun,2004,79999.99821
idn,2001,39999.99911
idn,2002,79999.99821
idn,2005,2109999.8951
idn,2006,2259999.99046
idn,2008,90000.00358
idn,2009,39999.99911
idn,2011,409999.99642
idn,2012,119999.99732
idn,2013,219999.99881
idn,2014,39999.99911
idn,2015,29999.99933
idn,2016,39999.99911
idn,2017,39999.99911
idn,2018,39999.99911
idn,2019,50000.00075
ind,1960,300000.01192
ind,1961,3359999.8951
ind,1994,39999.99911
ind,1999,29999.99933
ind,2000,239999.99464
ind,2001,779999.97139
ind,2002,239999.99464
ind,2004,289999.99166
ind,2005,389999.98569
ind,2006,389999.98569
ind,2007,519999.98093
ind,2008,439999.99762
ind,2009,419999.98689
ind,2010,389999.98569
ind,2011,460000.00834
ind,2012,379999.99523
ind,2013,379999.99523
ind,2014,400000.00596
ind,2015,270000.01073
ind,2016,300000.01192
ind,2017,370000.00477
ind,2018,379999.99523
ind,2019,400000.00596
irn,1993,90000.00358
irn,1994,19999.99955
irn,2003,39999.99911
irn,2004,9999.99978
irn,2007,19999.99955
irn,2011,9999.99978
irn,2012,0
irn,2013,9999.99978
irn,2014,0
irn,2016,0
irn,2017,39999.99911
irn,2018,39999.99911
irn,2019,29999.99933
irq,1994,150000.00596
irq,2003,8260000.22888
irq,2004,15149999.61853
irq,2005,3460000.03815
irq,2006,519999.98093
irq,2007,370000.00477
irq,2013,0
irq,2014,39999.99911
irq,2016,9999.99978
irq,2017,0
irq,2018,0
irq,2019,9999.99978
isr,2001,39999.99911
isr,2002,70000.0003
isr,2004,9999.99978
jam,2010,9999.99978
jam,2018,0
jor,2012,0
jor,2013,0
jor,2019,0
kaz,2007,9999.99978
kaz,2015,9999.99978
kaz,2017,9999.99978
kaz,2018,0
ken,2002,9999.99978
ken,2007,19999.99955
ken,2009,9999.99978
ken,2016,9999.99978
ken,2017,50000.00075
ken,2018,70000.0003
ken,2019,70000.0003
kgz,2011,9999.99978
khm,1994,180000.00715
khm,1998,50000.00075
khm,2002,79999.99821
khm,2003,100000.00149
khm,2006,19999.99955
khm,2014,0
kor,1996,19999.99955
kor,2001,109999.9994
kor,2002,79999.99821
kos,2009,10729999.54224
kos,2011,419999.98689
kos,2012,180000.00715
kos,2013,79999.99821
kos,2014,219999.99881
kos,2015,189999.99762
kos,2016,180000.00715
kos,2017,90000.00358
kos,2018,250000
kos,2019,29999.99933
lao,2002,79999.99821
lao,2003,100000.00149
lbn,1994,50000.00075
lbn,1998,460000.00834
lbn,1999,460000.00834
lbn,2005,19999.99955
lbn,2006,430000.00715
lbn,2007,11520000.45776
lbn,2008,10180000.30518
lbn,2009,9659999.84741
lbn,2013,0
lbn,2014,0
lbn,2015,0
lbn,2016,0
lbn,2017,0
lbn,2018,0
lbn,2019,9999.99978
lbr,1994,9999.99978
lbr,2004,79999.99821
lbr,2005,579999.98331
lbr,2006,180000.00715
lbr,2007,239999.99464
lbr,2008,209999.99344
lby,2004,9999.99978
lby,2009,9999.99978
lby,2013,0
lca,2010,39999.99911
lka,2004,109999.9994
lka,2005,540000.02146
lka,2006,1200000.04768
lka,2007,9999.99978
lka,2008,29999.99933
lka,2010,39999.99911
lka,2012,39999.99911
lka,2013,0
lka,2016,9999.99978
lka,2018,29999.99933
lka,2019,50000.00075
lva,1995,39999.99911
mac,1960,779999.97139
mac,1961,1200000.04768
mac,1992,39999.99911
mac,1994,150000.00596
mac,1996,9999.99978
mac,1997,9999.99978
mac,1999,70000.0003
mac,2000,29999.99933
mac,2001,200000.00298
mac,2002,219999.99881
mac,2003,19999.99955
mac,2004,39999.99911
mar,1992,39999.99911
mar,1993,90000.00358
mar,1994,439999.99762
mar,1995,379999.99523
mar,1996,109999.9994
mar,1997,9999.99978
mar,2000,270000.01073
mar,2001,250000
mar,2002,569999.99285
mar,2003,70000.0003
mar,2004,289999.99166
mar,2005,829999.98331
mar,2006,230000.00417
mar,2007,259999.99046
mar,2008,95300003.05176
mar,2009,20659999.84741
mar,2010,150000.00596
mar,2011,280000.00119
mar,2012,58240001.67847
mar,2013,140000.0006
mar,2014,400000.00596
mar,2015,10949999.80927
mar,2016,6599999.90463
mar,2017,4829999.92371
mar,2018,2490000.00954
mar,2019,159999.99642
mda,1995,9999.99978
mda,1996,90000.00358
mda,2003,9999.99978
mda,2007,219999.99881
mda,2008,9999.99978
mda,2009,9999.99978
mda,2011,9999.99978
mda,2012,19999.99955
mda,2013,29999.99933
mda,2014,9999.99978
mda,2015,0
mda,2017,0
mda,2019,0
mdg,1997,19999.99955
mdg,2000,9999.99978
mdg,2002,50000.00075
mdv,2005,9999.99978
mdv,2006,379999.99523
mex,1993,109999.9994
mex,1998,19999.99955
mex,2001,59999.99866
mex,2002,109999.9994
mex,2004,79999.99821
mex,2005,119999.99732
mex,2006,109999.9994
mex,2007,119999.99732
mex,2008,100000.00149
mex,2009,50000.00075
mex,2010,29999.99933
mex,2011,90000.00358
mex,2012,79999.99821
mex,2013,90000.00358
mex,2014,170000.00179
mex,2015,100000.00149
mex,2016,90000.00358
mex,2017,90000.00358
mex,2018,349999.99404
mex,2019,209999.99344
mkd,1999,1070000.05245
mkd,2000,2589999.91417
mkd,2001,2519999.98093
mkd,2002,50000.00075
mkd,2003,1269999.98093
mkd,2005,59999.99866
mkd,2008,9999.99978
mkd,2009,9999.99978
mkd,2010,9999.99978
mkd,2011,19999.99955
mkd,2012,29999.99933
mkd,2013,29999.99933
mkd,2014,29999.99933
mkd,2015,19999.99955
mkd,2016,29999.99933
mkd,2017,19999.99955
mkd,2018,9999.99978
mkd,2019,9999.99978
mli,2000,50000.00075
mli,2005,19999.99955
mli,2010,9999.99978
mli,2012,9999.99978
mli,2013,39999.99911
mli,2014,29999.99933
mli,2016,39999.99911
mli,2017,90000.00358
mli,2018,289999.99166
mli,2019,239999.99464
mmr,2006,59999.99866
mmr,2019,59999.99866
mne,2013,0
mne,2014,29999.99933
mne,2015,9999.99978
moz,1961,3589999.91417
moz,1966,5610000.13351
moz,1967,18069999.69482
moz,1989,27799999.23706
moz,1990,43419998.16895
moz,1991,99500000
moz,1992,161039993.28613
moz,1993,104870002.74658
moz,1994,39189998.62671
moz,1995,59069999.69482
moz,1996,51360000.61035
moz,1997,89370002.74658
moz,1998,61529998.7793
moz,1999,52650001.52588
moz,2000,32810001.37329
moz,2001,34259998.32153
moz,2002,23899999.61853
moz,2003,19110000.61035
moz,2004,24250000
moz,2005,22559999.46594
moz,2006,21670000.07629
moz,2007,21629999.16077
moz,2008,25110000.61035
moz,2009,68000000
moz,2010,112620002.74658
moz,2011,219190002.44141
moz,2012,80239997.86377
moz,2013,66930000.30518
moz,2014,53409999.84741
moz,2015,18969999.31335
moz,2016,24120000.83923
moz,2017,25329999.92371
moz,2018,29979999.54224
moz,2019,26579999.92371
mrt,2001,90000.00358
mrt,2002,239999.99464
mrt,2016,9999.99978
mrt,2017,19999.99955
mrt,2018,19999.99955
mwi,1992,19999.99955
mwi,2019,50000.00075
mys,2001,29999.99933
mys,2002,79999.99821
mys,2006,419999.98689
mys,2008,59999.99866
mys,2009,29999.99933
mys,2011,59999.99866
mys,2012,19999.99955
mys,2013,0
mys,2014,9999.99978
mys,2015,9999.99978
mys,2016,9999.99978
mys,2017,9999.99978
mys,2018,9999.99978
mys,2019,50000.00075
nam,1991,109999.9994
nam,1995,79999.99821
nam,1996,3130000.11444
nam,2000,19999.99955
nam,2001,209999.99344
nam,2002,879999.99523
nam,2003,90000.00358
nam,2004,79999.99821
nam,2005,90000.00358
nam,2006,100000.00149
nam,2007,70000.0003
nam,2008,79999.99821
nam,2009,59999.99866
nam,2011,109999.9994
nam,2012,100000.00149
nam,2013,360000.01431
nam,2014,360000.01431
nam,2015,349999.99404
nam,2016,349999.99404
nam,2017,379999.99523
nam,2018,409999.99642
nam,2019,259999.99046
ner,2013,0
ner,2017,70000.0003
ner,2018,100000.00149
ner,2019,9999.99978
nga,1993,9999.99978
nga,2002,9999.99978
nga,2004,9999.99978
nga,2005,9999.99978
nga,2006,109999.9994
nga,2007,70000.0003
nga,2008,79999.99821
nga,2009,39999.99911
nga,2011,109999.9994
nga,2012,59999.99866
nga,2013,59999.99866
nga,2014,0
nga,2016,19999.99955
nga,2017,9999.99978
nga,2018,19999.99955
nga,2019,270000.01073
nic,2009,50000.00075
nic,2012,19999.99955
nic,2013,39999.99911
nic,2014,50000.00075
nic,2015,9999.99978
nic,2017,9999.99978
nic,2018,19999.99955
nic,2019,19999.99955
npl,1997,19999.99955
npl,2006,9999.99978
npl,2007,9999.99978
npl,2016,0
npl,2017,0
npl,2018,0
npl,2019,0
pak,2005,9999.99978
pak,2012,9999.99978
pak,2013,0
pak,2016,19999.99955
pak,2017,9999.99978
pak,2018,59999.99866
pak,2019,430000.00715
pan,2014,0
pan,2015,0
pan,2018,9999.99978
pan,2019,9999.99978
per,2001,50000.00075
per,2002,59999.99866
per,2005,9999.99978
per,2007,59999.99866
per,2009,39999.99911
per,2010,19999.99955
per,2011,19999.99955
per,2012,9999.99978
per,2013,19999.99955
per,2014,50000.00075
per,2015,39999.99911
per,2016,50000.00075
per,2017,19999.99955
per,2018,9999.99978
per,2019,29999.99933
phl,2002,9999.99978
phl,2004,9999.99978
phl,2013,29999.99933
pol,1996,9999.99978
pol,1997,209999.99344
pol,1998,9999.99978
pol,2000,140000.0006
pol,2001,90000.00358
pol,2002,140000.0006
pol,2004,119999.99732
prk,2000,9999.99978
pry,1995,79999.99821
pry,2013,0
pry,2017,0
pry,2018,0
pry,2019,0
pse,1997,0
pse,1998,189999.99762
pse,1999,589999.97377
pse,2000,899999.97616
pse,2001,289999.99166
pse,2002,490000.00954
pse,2004,560000.00238
pse,2005,800000.01192
pse,2006,250000
pse,2007,490000.00954
pse,2008,1190000.05722
pse,2009,1100000.02384
pse,2010,9999.99978
pse,2011,19999.99955
pse,2012,9999.99978
pse,2013,0
pse,2014,270000.01073
pse,2015,129999.99523
pse,2016,0
pse,2017,9999.99978
pse,2018,119999.99732
pse,2019,119999.99732
rou,1995,9999.99978
rou,1996,79999.99821
rou,2000,39999.99911
rou,2001,119999.99732
rou,2002,100000.00149
rou,2004,100000.00149
rus,1995,19999.99955
rus,1997,9999.99978
rus,2001,39999.99911
rus,2002,39999.99911
rus,2003,9999.99978
rus,2004,70000.0003
rwa,1994,109999.9994
rwa,1996,140000.0006
rwa,1997,59999.99866
rwa,2003,980000.01907
rwa,2004,529999.97139
rwa,2005,610000.01431
rwa,2006,610000.01431
rwa,2007,699999.98808
rwa,2008,620000.00477
rwa,2009,860000.01431
rwa,2010,550000.01192
rwa,2011,660000.02623
rwa,2012,0
rwa,2013,819999.99285
rwa,2014,209999.99344
rwa,2015,219999.99881
rwa,2016,39999.99911
sdn,2004,319999.99285
sdn,2005,170000.00179
sdn,2006,1659999.96662
sdn,2007,280000.00119
sdn,2008,1019999.98093
sdn,2011,9999.99978
sdn,2013,0
sdn,2018,230000.00417
sdn,2019,119999.99732
sen,1992,19999.99955
sen,1994,9999.99978
sen,1995,620000.00477
sen,1997,29999.99933
sen,1999,9999.99978
sen,2000,170000.00179
sen,2001,140000.0006
sen,2002,219999.99881
sen,2003,9999.99978
sen,2004,59999.99866
sen,2005,79999.99821
sen,2006,90000.00358
sen,2007,150000.00596
sen,2008,150000.00596
sen,2009,109999.9994
sen,2010,259999.99046
sen,2011,379999.99523
sen,2012,340000.00358
sen,2013,300000.01192
sen,2014,59999.99866
sen,2015,280000.00119
sen,2016,330000.01311
sen,2017,430000.00715
sen,2018,439999.99762
sen,2019,419999.98689
slb,2009,100000.00149
sle,1999,50000.00075
sle,2002,2640000.1049
sle,2003,5269999.98093
sle,2005,100000.00149
sle,2006,109999.9994
sle,2007,170000.00179
sle,2010,9999.99978
sle,2011,19999.99955
sle,2012,9999.99978
sle,2013,9999.99978
sle,2016,50000.00075
sle,2017,50000.00075
sle,2018,9999.99978
sle,2019,9999.99978
slv,1994,9999.99978
slv,2001,90000.00358
slv,2007,39999.99911
slv,2009,170000.00179
slv,2010,119999.99732
slv,2011,70000.0003
slv,2012,19999.99955
slv,2013,29999.99933
slv,2016,0
slv,2018,9999.99978
slv,2019,19999.99955
som,1992,9999.99978
som,1993,9999.99978
som,1994,300000.01192
som,2005,119999.99732
som,2007,9999.99978
som,2012,0
som,2014,70000.0003
som,2015,109999.9994
som,2016,140000.0006
som,2017,129999.99523
som,2019,79999.99821
srb,2001,29999.99933
srb,2004,209999.99344
srb,2005,7460000.03815
srb,2006,7269999.98093
srb,2007,21500000
srb,2008,11449999.80927
srb,2009,100000.00149
srb,2010,12539999.96185
srb,2011,140000.0006
srb,2012,109999.9994
srb,2013,119999.99732
srb,2014,449999.98808
srb,2015,70000.0003
srb,2016,70000.0003
srb,2017,29999.99933
srb,2018,29999.99933
srb,2019,50000.00075
ssd,2018,319999.99285
ssd,2019,449999.98808
stp,1961,1009999.99046
stp,1966,1059999.94278
stp,1967,379999.99523
stp,1989,11050000.19073
stp,1990,15720000.26703
stp,1991,9239999.77112
stp,1992,14739999.77112
stp,1993,9880000.11444
stp,1994,8340000.15259
stp,1995,44220001.2207
stp,1996,13220000.26703
