geo,time,sp_dyn_tfrt_in
ago,1986,7.435
ago,1987,7.409
ago,1988,7.373
ago,1989,7.328
ago,1990,7.272
ago,1991,7.208
ago,1992,7.138
ago,1993,7.065
ago,1994,6.99
ago,1995,6.918
ago,1996,6.851
ago,1997,6.789
ago,1998,6.732
ago,1999,6.683
ago,2000,6.639
ago,2001,6.601
ago,2002,6.567
ago,2003,6.533
ago,2004,6.499
ago,2005,6.461
ago,2006,6.419
ago,2007,6.372
ago,2008,6.32
ago,2009,6.26
ago,2010,6.194
ago,2011,6.12
ago,2012,6.039
ago,2013,5.953
ago,2014,5.864
ago,2015,5.774
ago,2016,5.686
ago,2017,5.6
ago,2018,5.519
ago,2019,5.442
ago,2020,5.371
alb,1960,6.489
alb,1961,6.401
alb,1962,6.282
alb,1963,6.133
alb,1964,5.96
alb,1965,5.773
alb,1966,5.581
alb,1967,5.394
alb,1968,5.218
alb,1969,5.057
alb,1970,4.91
alb,1971,4.775
alb,1972,4.642
alb,1973,4.509
alb,1974,4.373
alb,1975,4.235
alb,1976,4.099
alb,1977,3.966
alb,1978,3.841
alb,1979,3.725
alb,1980,3.621
alb,1981,3.53
alb,1982,3.452
alb,1983,3.383
alb,1984,3.323
alb,1985,3.269
alb,1986,3.217
alb,1987,3.164
alb,1988,3.108
alb,1989,3.046
alb,1990,2.978
alb,1991,2.905
alb,1992,2.829
alb,1993,2.751
alb,1994,2.672
alb,1995,2.591
alb,1996,2.507
alb,1997,2.422
alb,1998,2.334
alb,1999,2.246
alb,2000,2.157
alb,2001,2.068
alb,2002,1.981
alb,2003,1.897
alb,2004,1.821
alb,2005,1.755
alb,2006,1.704
alb,2007,1.671
alb,2008,1.654
alb,2009,1.652
alb,2010,1.66
alb,2011,1.673
alb,2012,1.684
alb,2013,1.69
alb,2014,1.688
alb,2015,1.677
alb,2016,1.659
alb,2017,1.638
alb,2018,1.617
alb,2019,1.597
alb,2020,1.58
and,2006,1.24
and,2007,1.18
and,2008,1.25
and,2009,1.19
and,2010,1.27
are,1960,6.929
are,1961,6.91
are,1962,6.892
are,1963,6.875
are,1964,6.857
are,1965,6.838
are,1966,6.817
are,1967,6.791
are,1968,6.757
are,1969,6.713
are,1970,6.655
are,1971,6.579
are,1972,6.484
are,1973,6.372
are,1974,6.245
are,1975,6.111
are,1976,5.973
are,1977,5.84
are,1978,5.716
are,1979,5.603
are,1980,5.505
are,1981,5.422
are,1982,5.35
are,1983,5.283
are,1984,5.215
are,1985,5.139
are,1986,5.047
are,1987,4.934
are,1988,4.797
are,1989,4.636
are,1990,4.454
are,1991,4.253
are,1992,4.041
are,1993,3.827
are,1994,3.618
are,1995,3.418
are,1996,3.232
are,1997,3.062
are,1998,2.907
are,1999,2.768
are,2000,2.644
are,2001,2.533
are,2002,2.432
are,2003,2.337
are,2004,2.247
are,2005,2.161
are,2006,2.081
are,2007,2.006
are,2008,1.939
are,2009,1.877
are,2010,1.819
are,2011,1.763
are,2012,1.708
are,2013,1.651
are,2014,1.595
are,2015,1.541
are,2016,1.491
are,2017,1.448
are,2018,1.413
are,2019,1.387
are,2020,1.369
arg,1960,3.109
arg,1961,3.1
arg,1962,3.09
arg,1963,3.079
arg,1964,3.068
arg,1965,3.059
arg,1966,3.053
arg,1967,3.05
arg,1968,3.053
arg,1969,3.062
arg,1970,3.079
arg,1971,3.109
arg,1972,3.149
arg,1973,3.198
arg,1974,3.251
arg,1975,3.301
arg,1976,3.339
arg,1977,3.359
arg,1978,3.359
arg,1979,3.339
arg,1980,3.301
arg,1981,3.253
arg,1982,3.204
arg,1983,3.159
arg,1984,3.123
arg,1985,3.095
arg,1986,3.075
arg,1987,3.059
arg,1988,3.042
arg,1989,3.022
arg,1990,2.997
arg,1991,2.965
arg,1992,2.925
arg,1993,2.879
arg,1994,2.828
arg,1995,2.773
arg,1996,2.718
arg,1997,2.666
arg,1998,2.618
arg,1999,2.577
arg,2000,2.542
arg,2001,2.512
arg,2002,2.486
arg,2003,2.461
arg,2004,2.438
arg,2005,2.416
arg,2006,2.397
arg,2007,2.38
arg,2008,2.366
arg,2009,2.355
arg,2010,2.346
arg,2011,2.338
arg,2012,2.33
arg,2013,2.322
arg,2014,2.312
arg,2015,2.301
arg,2016,2.288
arg,2017,2.275
arg,2018,2.261
arg,2019,2.247
arg,2020,2.233
arm,1960,4.786
arm,1961,4.67
arm,1962,4.521
arm,1963,4.345
arm,1964,4.15
arm,1965,3.95
arm,1966,3.758
arm,1967,3.582
arm,1968,3.429
arm,1969,3.302
arm,1970,3.199
arm,1971,3.114
arm,1972,3.035
arm,1973,2.956
arm,1974,2.875
arm,1975,2.792
arm,1976,2.712
arm,1977,2.641
arm,1978,2.582
arm,1979,2.538
arm,1980,2.51
arm,1981,2.499
arm,1982,2.503
arm,1983,2.517
arm,1984,2.538
arm,1985,2.559
arm,1986,2.578
arm,1987,2.591
arm,1988,2.592
arm,1989,2.578
arm,1990,2.544
arm,1991,2.484
arm,1992,2.4
arm,1993,2.297
arm,1994,2.179
arm,1995,2.056
arm,1996,1.938
arm,1997,1.832
arm,1998,1.747
arm,1999,1.685
arm,2000,1.648
arm,2001,1.634
arm,2002,1.635
arm,2003,1.645
arm,2004,1.659
arm,2005,1.675
arm,2006,1.69
arm,2007,1.702
arm,2008,1.712
arm,2009,1.719
arm,2010,1.722
arm,2011,1.724
arm,2012,1.725
arm,2013,1.728
arm,2014,1.732
arm,2015,1.738
arm,2016,1.744
arm,2017,1.75
arm,2018,1.755
arm,2019,1.758
arm,2020,1.76
atg,1960,4.425
atg,1961,4.386
atg,1962,4.344
atg,1963,4.299
atg,1964,4.25
atg,1965,4.193
atg,1966,4.125
atg,1967,4.042
atg,1968,3.942
atg,1969,3.823
atg,1970,3.683
atg,1971,3.516
atg,1972,3.327
atg,1973,3.121
atg,1974,2.909
atg,1975,2.702
atg,1976,2.516
atg,1977,2.361
atg,1978,2.242
atg,1979,2.162
atg,1980,2.118
atg,1981,2.101
atg,1982,2.098
atg,1983,2.099
atg,1984,2.098
atg,1985,2.093
atg,1986,2.083
atg,1987,2.073
atg,1988,2.067
atg,1989,2.064
atg,1990,2.067
atg,1991,2.075
atg,1992,2.088
atg,1993,2.107
atg,1994,2.128
atg,1995,2.15
atg,1996,2.17
atg,1997,2.187
atg,1998,2.199
atg,1999,2.203
atg,2000,2.2
atg,2001,2.187
atg,2002,2.166
atg,2003,2.14
atg,2004,2.109
atg,2005,2.077
atg,2006,2.048
atg,2007,2.023
atg,2008,2.005
atg,2009,1.993
atg,2010,1.988
atg,2011,1.989
atg,2012,1.993
atg,2013,1.998
atg,2014,2.001
atg,2015,2.003
atg,2016,2.003
atg,2017,1.999
atg,2018,1.994
atg,2019,1.987
atg,2020,1.978
aus,1960,3.453
aus,1961,3.54
aus,1962,3.442
aus,1963,3.332
aus,1964,3.146
aus,1965,2.977
aus,1966,2.881
aus,1967,2.848
aus,1968,2.888
aus,1969,2.886
aus,1970,2.859
aus,1971,2.961
aus,1972,2.744
aus,1973,2.491
aus,1974,2.397
aus,1975,2.148
aus,1976,2.06
aus,1977,2.007
aus,1978,1.949
aus,1979,1.907
aus,1980,1.891
aus,1981,1.935
aus,1982,1.929
aus,1983,1.924
aus,1984,1.84
aus,1985,1.923
aus,1986,1.868
aus,1987,1.845
aus,1988,1.831
aus,1989,1.838
aus,1990,1.902
aus,1991,1.849
aus,1992,1.888
aus,1993,1.859
aus,1994,1.842
aus,1995,1.822
aus,1996,1.796
aus,1997,1.778
aus,1998,1.762
aus,1999,1.755
aus,2000,1.756
aus,2001,1.739
aus,2002,1.756
aus,2003,1.748
aus,2004,1.768
aus,2005,1.807
aus,2006,1.908
aus,2007,1.959
aus,2008,1.984
aus,2009,1.971
aus,2010,1.928
aus,2011,1.926
aus,2012,1.92
aus,2013,1.855
aus,2014,1.826
aus,2015,1.814
aus,2016,1.752
aus,2017,1.741
aus,2018,1.74
aus,2019,1.657
aus,2020,1.581
aut,1960,2.69
aut,1961,2.78
aut,1962,2.8
aut,1963,2.82
aut,1964,2.79
aut,1965,2.7
aut,1966,2.66
aut,1967,2.62
aut,1968,2.58
aut,1969,2.49
aut,1970,2.29
aut,1971,2.2
aut,1972,2.08
aut,1973,1.94
aut,1974,1.91
aut,1975,1.83
aut,1976,1.69
aut,1977,1.63
aut,1978,1.6
aut,1979,1.6
aut,1980,1.65
aut,1981,1.67
aut,1982,1.66
aut,1983,1.56
aut,1984,1.52
aut,1985,1.47
aut,1986,1.45
aut,1987,1.43
aut,1988,1.45
aut,1989,1.45
aut,1990,1.46
aut,1991,1.51
aut,1992,1.51
aut,1993,1.5
aut,1994,1.47
aut,1995,1.42
aut,1996,1.45
aut,1997,1.39
aut,1998,1.37
aut,1999,1.34
aut,2000,1.36
aut,2001,1.33
aut,2002,1.39
aut,2003,1.38
aut,2004,1.42
aut,2005,1.41
aut,2006,1.41
aut,2007,1.38
aut,2008,1.42
aut,2009,1.39
aut,2010,1.44
aut,2011,1.43
aut,2012,1.44
aut,2013,1.44
aut,2014,1.46
aut,2015,1.49
aut,2016,1.53
aut,2017,1.52
aut,2018,1.47
aut,2019,1.46
aut,2020,1.44
aze,1960,5.878
aze,1961,5.937
aze,1962,5.961
aze,1963,5.945
aze,1964,5.888
aze,1965,5.792
aze,1966,5.663
aze,1967,5.512
aze,1968,5.351
aze,1969,5.185
aze,1970,5.018
aze,1971,4.85
aze,1972,4.681
aze,1973,4.51
aze,1974,4.341
aze,1975,4.176
aze,1976,4.018
aze,1977,3.869
aze,1978,3.73
aze,1979,3.605
aze,1980,3.497
aze,1981,3.41
aze,1982,3.343
aze,1983,3.293
aze,1984,3.259
aze,1985,2.91
aze,1986,2.9
aze,1987,2.9026
aze,1988,2.8
aze,1989,2.8
aze,1990,2.74
aze,1991,2.87
aze,1992,2.74
aze,1993,2.7
aze,1994,2.52
aze,1995,2.29
aze,1996,2.06
aze,1997,2.07
aze,1998,2
aze,1999,2.07
aze,2000,2
aze,2001,1.8
aze,2002,1.8
aze,2003,1.9
aze,2004,2.0535
aze,2005,2
aze,2006,1.97
aze,2007,1.97
aze,2008,1.9
aze,2009,1.82
aze,2010,1.92
aze,2011,1.96
aze,2012,2
aze,2013,1.98
aze,2014,1.97
aze,2015,1.94
aze,2016,1.9
aze,2017,1.75
aze,2018,1.73
aze,2019,1.81
aze,2020,1.7
bdi,1960,6.944
bdi,1961,6.985
bdi,1962,7.028
bdi,1963,7.072
bdi,1964,7.114
bdi,1965,7.152
bdi,1966,7.183
bdi,1967,7.208
bdi,1968,7.227
bdi,1969,7.239
bdi,1970,7.249
bdi,1971,7.258
bdi,1972,7.271
bdi,1973,7.288
bdi,1974,7.31
bdi,1975,7.334
bdi,1976,7.357
bdi,1977,7.376
bdi,1978,7.388
bdi,1979,7.394
bdi,1980,7.395
bdi,1981,7.396
bdi,1982,7.399
bdi,1983,7.407
bdi,1984,7.418
bdi,1985,7.432
bdi,1986,7.443
bdi,1987,7.448
bdi,1988,7.444
bdi,1989,7.43
bdi,1990,7.405
bdi,1991,7.371
bdi,1992,7.329
bdi,1993,7.284
bdi,1994,7.235
bdi,1995,7.185
bdi,1996,7.135
bdi,1997,7.083
bdi,1998,7.03
bdi,1999,6.976
bdi,2000,6.92
bdi,2001,6.862
bdi,2002,6.801
bdi,2003,6.736
bdi,2004,6.666
bdi,2005,6.593
bdi,2006,6.515
bdi,2007,6.435
bdi,2008,6.352
bdi,2009,6.267
bdi,2010,6.179
bdi,2011,6.088
bdi,2012,5.994
bdi,2013,5.897
bdi,2014,5.797
bdi,2015,5.697
bdi,2016,5.599
bdi,2017,5.502
bdi,2018,5.41
bdi,2019,5.321
bdi,2020,5.237
bel,1960,2.54
bel,1961,2.63
bel,1962,2.59
bel,1963,2.68
bel,1964,2.71
bel,1965,2.61
bel,1966,2.52
bel,1967,2.41
bel,1968,2.31
bel,1969,2.27
bel,1970,2.25
bel,1971,2.21
bel,1972,2.09
bel,1973,1.95
bel,1974,1.83
bel,1975,1.74
bel,1976,1.73
bel,1977,1.71
bel,1978,1.69
bel,1979,1.69
bel,1980,1.68
bel,1981,1.66
bel,1982,1.61
bel,1983,1.57
bel,1984,1.54
bel,1985,1.51
bel,1986,1.54
bel,1987,1.54
bel,1988,1.57
bel,1989,1.58
bel,1990,1.62
bel,1991,1.66
bel,1992,1.65
bel,1993,1.61
bel,1994,1.56
bel,1995,1.56
bel,1996,1.59
bel,1997,1.6
bel,1998,1.6
bel,1999,1.62
bel,2000,1.67
bel,2001,1.67
bel,2002,1.65
bel,2003,1.67
bel,2004,1.72
bel,2005,1.76
bel,2006,1.8
bel,2007,1.82
bel,2008,1.85
bel,2009,1.84
bel,2010,1.86
bel,2011,1.81
bel,2012,1.8
bel,2013,1.76
bel,2014,1.74
bel,2015,1.7
bel,2016,1.68
bel,2017,1.65
bel,2018,1.62
bel,2019,1.6
bel,2020,1.55
ben,1960,6.282
ben,1961,6.339
ben,1962,6.394
ben,1963,6.447
ben,1964,6.497
ben,1965,6.544
ben,1966,6.588
ben,1967,6.63
ben,1968,6.671
ben,1969,6.71
ben,1970,6.748
ben,1971,6.786
ben,1972,6.823
ben,1973,6.86
ben,1974,6.896
ben,1975,6.929
ben,1976,6.959
ben,1977,6.984
ben,1978,7.004
ben,1979,7.018
ben,1980,7.025
ben,1981,7.025
ben,1982,7.021
ben,1983,7.01
ben,1984,6.994
ben,1985,6.972
ben,1986,6.942
ben,1987,6.904
ben,1988,6.858
ben,1989,6.805
ben,1990,6.744
ben,1991,6.677
ben,1992,6.603
ben,1993,6.526
ben,1994,6.446
ben,1995,6.364
ben,1996,6.282
ben,1997,6.199
ben,1998,6.118
ben,1999,6.038
ben,2000,5.962
ben,2001,5.889
ben,2002,5.82
ben,2003,5.754
ben,2004,5.691
ben,2005,5.632
ben,2006,5.576
ben,2007,5.522
ben,2008,5.469
ben,2009,5.416
ben,2010,5.362
ben,2011,5.305
ben,2012,5.246
ben,2013,5.183
ben,2014,5.116
ben,2015,5.047
ben,2016,4.977
ben,2017,4.906
ben,2018,4.836
ben,2019,4.767
ben,2020,4.7
bfa,1960,6.291
bfa,1961,6.316
bfa,1962,6.344
bfa,1963,6.377
bfa,1964,6.414
bfa,1965,6.454
bfa,1966,6.493
bfa,1967,6.53
bfa,1968,6.563
bfa,1969,6.593
bfa,1970,6.623
bfa,1971,6.657
bfa,1972,6.697
bfa,1973,6.744
bfa,1974,6.799
bfa,1975,6.859
bfa,1976,6.922
bfa,1977,6.984
bfa,1978,7.041
bfa,1979,7.09
bfa,1980,7.127
bfa,1981,7.152
bfa,1982,7.165
bfa,1983,7.167
bfa,1984,7.159
bfa,1985,7.142
bfa,1986,7.119
bfa,1987,7.092
bfa,1988,7.064
bfa,1989,7.036
bfa,1990,7.007
bfa,1991,6.979
bfa,1992,6.95
bfa,1993,6.917
bfa,1994,6.882
bfa,1995,6.844
bfa,1996,6.801
bfa,1997,6.754
bfa,1998,6.704
bfa,1999,6.65
bfa,2000,6.592
bfa,2001,6.531
bfa,2002,6.468
bfa,2003,6.403
bfa,2004,6.335
bfa,2005,6.265
bfa,2006,6.192
bfa,2007,6.116
bfa,2008,6.036
bfa,2009,5.953
bfa,2010,5.867
bfa,2011,5.781
bfa,2012,5.693
bfa,2013,5.606
bfa,2014,5.521
bfa,2015,5.436
bfa,2016,5.353
bfa,2017,5.271
bfa,2018,5.189
bfa,2019,5.109
bfa,2020,5.029
bgd,1960,6.725
bgd,1961,6.761
bgd,1962,6.794
bgd,1963,6.825
bgd,1964,6.853
bgd,1965,6.878
bgd,1966,6.901
bgd,1967,6.92
bgd,1968,6.935
bgd,1969,6.945
bgd,1970,6.947
bgd,1971,6.942
bgd,1972,6.928
bgd,1973,6.904
bgd,1974,6.869
bgd,1975,6.821
bgd,1976,6.758
bgd,1977,6.681
bgd,1978,6.59
bgd,1979,6.483
bgd,1980,6.359
bgd,1981,6.217
bgd,1982,6.058
bgd,1983,5.884
bgd,1984,5.698
bgd,1985,5.501
bgd,1986,5.298
bgd,1987,5.092
bgd,1988,4.887
bgd,1989,4.686
bgd,1990,4.495
bgd,1991,4.315
bgd,1992,4.146
bgd,1993,3.99
bgd,1994,3.846
bgd,1995,3.713
bgd,1996,3.591
bgd,1997,3.478
bgd,1998,3.371
bgd,1999,3.269
bgd,2000,3.169
bgd,2001,3.07
bgd,2002,2.973
bgd,2003,2.876
bgd,2004,2.782
bgd,2005,2.691
bgd,2006,2.604
bgd,2007,2.523
bgd,2008,2.449
bgd,2009,2.382
bgd,2010,2.324
bgd,2011,2.273
bgd,2012,2.228
bgd,2013,2.188
bgd,2014,2.152
bgd,2015,2.12
bgd,2016,2.09
bgd,2017,2.062
bgd,2018,2.036
bgd,2019,2.011
bgd,2020,1.987
bgr,1960,2.31
bgr,1961,2.29
bgr,1962,2.24
bgr,1963,2.21
bgr,1964,2.19
bgr,1965,2.09
bgr,1966,2.03
bgr,1967,2.02
bgr,1968,2.27
bgr,1969,2.27
bgr,1970,2.17
bgr,1971,2.1
bgr,1972,2.03
bgr,1973,2.15
bgr,1974,2.29
bgr,1975,2.23
bgr,1976,2.24
bgr,1977,2.21
bgr,1978,2.15
bgr,1979,2.16
bgr,1980,2.05
bgr,1981,2
bgr,1982,2.01
bgr,1983,2.01
bgr,1984,2.01
bgr,1985,1.97
bgr,1986,2.02
bgr,1987,1.96
bgr,1988,1.97
bgr,1989,1.9
bgr,1990,1.82
bgr,1991,1.66
bgr,1992,1.55
bgr,1993,1.46
bgr,1994,1.37
bgr,1995,1.23
bgr,1996,1.23
bgr,1997,1.09
bgr,1998,1.11
bgr,1999,1.23
bgr,2000,1.26
bgr,2001,1.21
bgr,2002,1.23
bgr,2003,1.26
bgr,2004,1.33
bgr,2005,1.37
bgr,2006,1.44
bgr,2007,1.49
bgr,2008,1.56
bgr,2009,1.66
bgr,2010,1.57
bgr,2011,1.51
bgr,2012,1.5
bgr,2013,1.48
bgr,2014,1.53
bgr,2015,1.53
bgr,2016,1.54
bgr,2017,1.56
bgr,2018,1.56
bgr,2019,1.58
bgr,2020,1.56
bhr,1960,7.087
bhr,1961,7.129
bhr,1962,7.163
bhr,1963,7.185
bhr,1964,7.188
bhr,1965,7.162
bhr,1966,7.099
bhr,1967,6.997
bhr,1968,6.86
bhr,1969,6.692
bhr,1970,6.501
bhr,1971,6.297
bhr,1972,6.094
bhr,1973,5.899
bhr,1974,5.721
bhr,1975,5.56
bhr,1976,5.417
bhr,1977,5.285
bhr,1978,5.158
bhr,1979,5.036
bhr,1980,4.916
bhr,1981,4.8
bhr,1982,4.688
bhr,1983,4.578
bhr,1984,4.47
bhr,1985,4.36
bhr,1986,4.245
bhr,1987,4.124
bhr,1988,3.997
bhr,1989,3.866
bhr,1990,3.732
bhr,1991,3.599
bhr,1992,3.471
bhr,1993,3.352
bhr,1994,3.244
bhr,1995,3.147
bhr,1996,3.062
bhr,1997,2.987
bhr,1998,2.919
bhr,1999,2.856
bhr,2000,2.795
bhr,2001,2.731
bhr,2002,2.663
bhr,2003,2.59
bhr,2004,2.514
bhr,2005,2.436
bhr,2006,2.363
bhr,2007,2.297
bhr,2008,2.241
bhr,2009,2.197
bhr,2010,2.164
bhr,2011,2.139
bhr,2012,2.118
bhr,2013,2.098
bhr,2014,2.078
bhr,2015,2.056
bhr,2016,2.033
bhr,2017,2.01
bhr,2018,1.987
bhr,2019,1.964
bhr,2020,1.942
bhs,1960,4.495
bhs,1961,4.495
bhs,1962,4.45
bhs,1963,4.357
bhs,1964,4.221
bhs,1965,4.06
bhs,1966,3.897
bhs,1967,3.754
bhs,1968,3.646
bhs,1969,3.576
bhs,1970,3.536
bhs,1971,3.508
bhs,1972,3.472
bhs,1973,3.413
bhs,1974,3.33
bhs,1975,3.233
bhs,1976,3.137
bhs,1977,3.058
bhs,1978,3.008
bhs,1979,2.987
bhs,1980,2.986
bhs,1981,2.992
bhs,1982,2.988
bhs,1983,2.964
bhs,1984,2.919
bhs,1985,2.857
bhs,1986,2.789
bhs,1987,2.729
bhs,1988,2.683
bhs,1989,2.655
bhs,1990,2.64
bhs,1991,2.633
bhs,1992,2.623
bhs,1993,2.602
bhs,1994,2.568
bhs,1995,2.515
bhs,1996,2.444
bhs,1997,2.358
bhs,1998,2.264
bhs,1999,2.166
bhs,2000,2.073
bhs,2001,1.993
bhs,2002,1.931
bhs,2003,1.889
bhs,2004,1.867
bhs,2005,1.863
bhs,2006,1.869
bhs,2007,1.877
bhs,2008,1.881
bhs,2009,1.877
bhs,2010,1.865
bhs,2011,1.847
bhs,2012,1.828
bhs,2013,1.81
bhs,2014,1.794
bhs,2015,1.782
bhs,2016,1.771
bhs,2017,1.762
bhs,2018,1.752
bhs,2019,1.743
bhs,2020,1.733
bih,1960,3.801
bih,1961,3.74
bih,1962,3.676
bih,1963,3.601
bih,1964,3.515
bih,1965,3.417
bih,1966,3.313
bih,1967,3.208
bih,1968,3.109
bih,1969,3.016
bih,1970,2.929
bih,1971,2.844
bih,1972,2.759
bih,1973,2.671
bih,1974,2.58
bih,1975,2.489
bih,1976,2.401
bih,1977,2.318
bih,1978,2.243
bih,1979,2.178
bih,1980,2.122
bih,1981,2.075
bih,1982,2.034
bih,1983,1.998
bih,1984,1.964
bih,1985,1.932
bih,1986,1.9
bih,1987,1.868
bih,1988,1.835
bih,1989,1.803
bih,1990,1.772
bih,1991,1.748
bih,1992,1.73
bih,1993,1.72
bih,1994,1.713
bih,1995,1.706
bih,1996,1.69
bih,1997,1.662
bih,1998,1.619
bih,1999,1.562
bih,2000,1.497
bih,2001,1.432
bih,2002,1.374
bih,2003,1.33
bih,2004,1.301
bih,2005,1.288
bih,2006,1.288
bih,2007,1.295
bih,2008,1.303
bih,2009,1.311
bih,2010,1.315
bih,2011,1.315
bih,2012,1.313
bih,2013,1.309
bih,2014,1.303
bih,2015,1.296
bih,2016,1.286
bih,2017,1.276
bih,2018,1.265
bih,2019,1.254
bih,2020,1.243
blr,1960,2.67
blr,1961,2.59
blr,1962,2.5
blr,1963,2.4
blr,1964,2.31
blr,1965,2.27
blr,1966,2.29
blr,1967,2.26
blr,1968,2.22
blr,1969,2.26
blr,1970,2.31
blr,1971,2.31
blr,1972,2.28
blr,1973,2.25
blr,1974,2.21
blr,1975,2.17
blr,1976,2.12
blr,1977,2.08
blr,1978,2.06
blr,1979,2.05
blr,1980,2.03
blr,1981,2.02
blr,1982,2.05
blr,1983,2.11
blr,1984,2.11
blr,1985,2.09
blr,1986,2.09
blr,1987,2.03
blr,1988,2.031
blr,1989,2.026
blr,1990,1.913
blr,1991,1.805
blr,1992,1.764
blr,1993,1.623
blr,1994,1.533
blr,1995,1.406
blr,1996,1.335
blr,1997,1.25
blr,1998,1.3
blr,1999,1.31
blr,2000,1.317
blr,2001,1.286
blr,2002,1.24
blr,2003,1.232
blr,2004,1.233
blr,2005,1.252
blr,2006,1.335
blr,2007,1.429
blr,2008,1.488
blr,2009,1.509
blr,2010,1.494
blr,2011,1.515
blr,2012,1.62
blr,2013,1.668
blr,2014,1.696
blr,2015,1.724
blr,2016,1.733
blr,2017,1.541
blr,2018,1.448
blr,2019,1.382
blr,2020,1.382
blz,1960,6.5
blz,1961,6.48
blz,1962,6.46
blz,1963,6.44
blz,1964,6.42
blz,1965,6.4
blz,1966,6.379
blz,1967,6.358
blz,1968,6.337
blz,1969,6.316
blz,1970,6.299
blz,1971,6.288
blz,1972,6.284
blz,1973,6.285
blz,1974,6.287
blz,1975,6.278
blz,1976,6.25
blz,1977,6.195
blz,1978,6.109
blz,1979,5.992
blz,1980,5.849
blz,1981,5.684
blz,1982,5.51
blz,1983,5.336
blz,1984,5.17
blz,1985,5.019
blz,1986,4.886
blz,1987,4.771
blz,1988,4.671
blz,1989,4.584
blz,1990,4.508
blz,1991,4.436
blz,1992,4.363
blz,1993,4.286
blz,1994,4.201
blz,1995,4.109
blz,1996,4.01
blz,1997,3.908
blz,1998,3.805
blz,1999,3.703
blz,2000,3.601
blz,2001,3.497
blz,2002,3.392
blz,2003,3.286
blz,2004,3.18
blz,2005,3.077
blz,2006,2.98
blz,2007,2.893
blz,2008,2.816
blz,2009,2.749
blz,2010,2.69
blz,2011,2.638
blz,2012,2.588
blz,2013,2.539
blz,2014,2.489
blz,2015,2.439
blz,2016,2.391
blz,2017,2.346
blz,2018,2.307
blz,2019,2.274
blz,2020,2.246
bmu,1995,1.8
bmu,2000,1.74
bmu,2001,1.75
bmu,2002,1.77
bmu,2003,1.8
bmu,2004,1.78
bmu,2005,1.76
bmu,2006,1.76
bmu,2007,1.76
bmu,2008,1.77
bmu,2009,1.76
bmu,2010,1.7
bmu,2011,1.6
bmu,2012,1.6
bmu,2013,1.6
bmu,2014,1.4
bmu,2015,1.4
bmu,2016,1.4
