phase_from,phase_to,year,amount
Gas,Losses,2015,42.4010
Gas,Thermal generation,2015,224.8910
Gas,Agriculture,2015,25.0960
Gas,Industry,2015,61.5800
Geothermal,Electricity grid,2015,46.0130
H2 conversion,H2,2015,88.8970
H2 conversion,Losses,2015,67.2420
H2,Road transport,2015,55.8970
Hydro,Electricity grid,2015,30.9950
Liquid,Industry,2015,181.0660
Liquid,International shipping,2015,175.6900
Liquid,Road transport,2015,227.8350
Liquid,Domestic aviation,2015,43.4580
Liquid,International aviation,2015,221.2670
Liquid,Agriculture,2015,38.6400
Liquid,National navigation,2015,128.2180
Liquid,Rail transport,2015,31.4130
Marine algae,Bio-conversion,2015,20.3750
Ngas,Gas,2015,151.9520
Nuclear,Thermal generation,2015,897.9780
Oil imports,Oil,2015,511.2870
Oil reserves,Oil,2015,189.7030
Oil,Liquid,2015,697.9900
Other waste,Solid,2015,65.5870
Other waste,Bio-conversion,2015,132.8100
Pumped heat,Heating and cooling - homes,2015,230.0260
Pumped heat,Heating and cooling - commercial,2015,143.6720
Solar PV,Electricity grid,2015,84.9010
Solar Thermal,Heating and cooling - homes,2015,53.2630
Solar,Solar Thermal,2015,24.2630
Solar,Solar PV,2015,131.9010
Solid,Agriculture,2015,39.8820
Solid,Thermal generation,2015,436.1200
Solid,Industry,2015,79.4770
Thermal generation,Electricity grid,2015,612.5310
Thermal generation,Losses,2015,840.1290
Thermal generation,District heating,2015,169.3290
Tidal,Electricity grid,2015,18.4520
UK land based bioenergy,Bio-conversion,2015,276.0100
Wave,Electricity grid,2015,58.0130
Wind,Electricity grid,2015,342.3660
Agricultural 'waste',Bio-conversion,2016,126.7290
Bio-conversion,Liquid,2016,5.5970
Bio-conversion,Losses,2016,111.8620
Bio-conversion,Solid,2016,379.3220
Bio-conversion,Gas,2016,89.1440
Biofuel imports,Liquid,2016,56.0000
Biomass imports,Solid,2016,75.0000
Coal imports,Coal,2016,31.6060
Coal reserves,Coal,2016,75.9650
Coal,Solid,2016,150.5710
District heating,Industry,2016,36.6390
District heating,Heating and cooling - commercial,2016,26.5050
District heating,Heating and cooling - homes,2016,141.1840
Electricity grid,Over generation / exports,2016,191.4530
Electricity grid,Heating and cooling - homes,2016,153.7260
Electricity grid,H2 conversion,2016,67.1400
Electricity grid,Industry,2016,382.1650
Electricity grid,Road transport,2016,117.7970
Electricity grid,Agriculture,2016,21.4120
Electricity grid,Heating and cooling - commercial,2016,84.8580
Electricity grid,Losses,2016,138.6910
Electricity grid,Rail transport,2016,90.8630
Electricity grid,Lighting & appliances - commercial,2016,151.0080
Electricity grid,Lighting & appliances - homes,2016,153.4940
Gas imports,Ngas,2016,94.7190
Gas reserves,Ngas,2016,146.2330
Gas,Heating and cooling - commercial,2016,93.1290
Gas,Losses,2016,87.4010
Gas,Thermal generation,2016,249.8910
Gas,Agriculture,2016,54.0960
Gas,Industry,2016,90.5800
Geothermal,Electricity grid,2016,85.0130
H2 conversion,H2,2016,26.8970
H2 conversion,Losses,2016,102.2420
H2,Road transport,2016,87.8970
Hydro,Electricity grid,2016,66.9950
Liquid,Industry,2016,133.0660
Liquid,International shipping,2016,163.6900
Liquid,Road transport,2016,169.8350
Liquid,Domestic aviation,2016,73.4580
Liquid,International aviation,2016,259.2670
Liquid,Agriculture,2016,22.6400
Liquid,National navigation,2016,116.2180
Liquid,Rail transport,2016,35.4130
Marine algae,Bio-conversion,2016,87.3750
Ngas,Gas,2016,173.9520
Nuclear,Thermal generation,2016,894.9780
Oil imports,Oil,2016,585.2870
Oil reserves,Oil,2016,125.7030
Oil,Liquid,2016,651.9900
Other waste,Solid,2016,80.5870
Other waste,Bio-conversion,2016,128.8100
Pumped heat,Heating and cooling - homes,2016,278.0260
Pumped heat,Heating and cooling - commercial,2016,103.6720
Solar PV,Electricity grid,2016,87.9010
Solar Thermal,Heating and cooling - homes,2016,42.2630
Solar,Solar Thermal,2016,33.2630
Solar,Solar PV,2016,106.9010
Solid,Agriculture,2016,29.8820
Solid,Thermal generation,2016,489.1200
Solid,Industry,2016,83.4770
Thermal generation,Electricity grid,2016,552.5310
Thermal generation,Losses,2016,822.1290
Thermal generation,District heating,2016,90.3290
Tidal,Electricity grid,2016,80.4520
UK land based bioenergy,Bio-conversion,2016,203.0100
Wave,Electricity grid,2016,30.0130
Wind,Electricity grid,2016,326.3660
Agricultural 'waste',Bio-conversion,2017,139.7290
Bio-conversion,Liquid,2017,77.5970
Bio-conversion,Losses,2017,93.8620
Bio-conversion,Solid,2017,318.3220
Bio-conversion,Gas,2017,156.1440
Biofuel imports,Liquid,2017,64.0000
Biomass imports,Solid,2017,97.0000
Coal imports,Coal,2017,87.6060
Coal reserves,Coal,2017,64.9650
Coal,Solid,2017,147.5710
District heating,Industry,2017,51.6390
District heating,Heating and cooling - commercial,2017,75.5050
District heating,Heating and cooling - homes,2017,55.1840
Electricity grid,Over generation / exports,2017,175.4530
Electricity grid,Heating and cooling - homes,2017,148.7260
Electricity grid,H2 conversion,2017,67.1400
Electricity grid,Industry,2017,369.1650
Electricity grid,Road transport,2017,61.7970
Electricity grid,Agriculture,2017,32.4120
Electricity grid,Heating and cooling - commercial,2017,93.8580
Electricity grid,Losses,2017,99.6910
Electricity grid,Rail transport,2017,11.8630
Electricity grid,Lighting & appliances - commercial,2017,172.0080
Electricity grid,Lighting & appliances - homes,2017,143.4940
Gas imports,Ngas,2017,96.7190
Gas reserves,Ngas,2017,133.2330
Gas,Heating and cooling - commercial,2017,23.1290
Gas,Losses,2017,68.4010
Gas,Thermal generation,2017,189.8910
Gas,Agriculture,2017,49.0960
Gas,Industry,2017,132.5800
Geothermal,Electricity grid,2017,23.0130
H2 conversion,H2,2017,62.8970
H2 conversion,Losses,2017,85.2420
H2,Road transport,2017,96.8970
Hydro,Electricity grid,2017,28.9950
Liquid,Industry,2017,130.0660
Liquid,International shipping,2017,147.6900
Liquid,Road transport,2017,216.8350
Liquid,Domestic aviation,2017,106.4580
Liquid,International aviation,2017,244.2670
Liquid,Agriculture,2017,37.6400
Liquid,National navigation,2017,90.2180
Liquid,Rail transport,2017,6.4130
Marine algae,Bio-conversion,2017,43.3750
Ngas,Gas,2017,192.9520
Nuclear,Thermal generation,2017,912.9780
Oil imports,Oil,2017,546.2870
Oil reserves,Oil,2017,176.7030
Oil,Liquid,2017,669.9900
Other waste,Solid,2017,103.5870
Other waste,Bio-conversion,2017,171.8100
Pumped heat,Heating and cooling - homes,2017,248.0260
Pumped heat,Heating and cooling - commercial,2017,112.6720
Solar PV,Electricity grid,2017,113.9010
Solar Thermal,Heating and cooling - homes,2017,63.2630
Solar,Solar Thermal,2017,44.2630
Solar,Solar PV,2017,72.9010
Solid,Agriculture,2017,77.8820
Solid,Thermal generation,2017,483.1200
Solid,Industry,2017,125.4770
Thermal generation,Electricity grid,2017,566.5310
Thermal generation,Losses,2017,803.1290
Thermal generation,District heating,2017,169.3290
Tidal,Electricity grid,2017,70.4520
UK land based bioenergy,Bio-conversion,2017,194.0100
Wave,Electricity grid,2017,48.0130
Wind,Electricity grid,2017,384.3660
Agricultural 'waste',Bio-conversion,2018,211.7290
Bio-conversion,Liquid,2018,82.5970
Bio-conversion,Losses,2018,125.8620
Bio-conversion,Solid,2018,302.3220
Bio-conversion,Gas,2018,145.1440
Biofuel imports,Liquid,2018,69.0000
Biomass imports,Solid,2018,36.0000
Coal imports,Coal,2018,24.6060
Coal reserves,Coal,2018,96.9650
Coal,Solid,2018,108.5710
District heating,Industry,2018,78.6390
District heating,Heating and cooling - commercial,2018,105.5050
District heating,Heating and cooling - homes,2018,101.1840
Electricity grid,Over generation / exports,2018,190.4530
Electricity grid,Heating and cooling - homes,2018,123.7260
Electricity grid,H2 conversion,2018,68.1400
Electricity grid,Industry,2018,384.1650
Electricity grid,Road transport,2018,110.7970
Electricity grid,Agriculture,2018,85.4120
Electricity grid,Heating and cooling - commercial,2018,78.8580
Electricity grid,Losses,2018,125.6910
Electricity grid,Rail transport,2018,62.8630
Electricity grid,Lighting & appliances - commercial,2018,184.0080
Electricity grid,Lighting & appliances - homes,2018,187.4940
Gas imports,Ngas,2018,77.7190
Gas reserves,Ngas,2018,82.2330
Gas,Heating and cooling - commercial,2018,49.1290
Gas,Losses,2018,91.4010
Gas,Thermal generation,2018,227.8910
Gas,Agriculture,2018,14.0960
Gas,Industry,2018,80.5800
Geothermal,Electricity grid,2018,37.0130
H2 conversion,H2,2018,92.8970
H2 conversion,Losses,2018,26.2420
H2,Road transport,2018,115.8970
Hydro,Electricity grid,2018,75.9950
Liquid,Industry,2018,123.0660
Liquid,International shipping,2018,152.6900
Liquid,Road transport,2018,214.8350
Liquid,Domestic aviation,2018,93.4580
Liquid,International aviation,2018,232.2670
Liquid,Agriculture,2018,36.6400
Liquid,National navigation,2018,37.2180
Liquid,Rail transport,2018,8.4130
Marine algae,Bio-conversion,2018,99.3750
Ngas,Gas,2018,205.9520
Nuclear,Thermal generation,2018,840.9780
Oil imports,Oil,2018,550.2870
Oil reserves,Oil,2018,149.7030
Oil,Liquid,2018,651.9900
Other waste,Solid,2018,81.5870
Other waste,Bio-conversion,2018,80.8100
Pumped heat,Heating and cooling - homes,2018,238.0260
Pumped heat,Heating and cooling - commercial,2018,125.6720
Solar PV,Electricity grid,2018,63.9010
Solar Thermal,Heating and cooling - homes,2018,20.2630
Solar,Solar Thermal,2018,56.2630
Solar,Solar PV,2018,114.9010
Solid,Agriculture,2018,52.8820
Solid,Thermal generation,2018,411.1200
Solid,Industry,2018,95.4770
Thermal generation,Electricity grid,2018,550.5310
Thermal generation,Losses,2018,791.1290
Thermal generation,District heating,2018,125.3290
Tidal,Electricity grid,2018,21.4520
UK land based bioenergy,Bio-conversion,2018,238.0100
Wave,Electricity grid,2018,77.0130
Wind,Electricity grid,2018,308.3660
Agricultural 'waste',Bio-conversion,2019,159.7290
Bio-conversion,Liquid,2019,49.5970
Bio-conversion,Losses,2019,112.8620
Bio-conversion,Solid,2019,331.3220
Bio-conversion,Gas,2019,154.1440
Biofuel imports,Liquid,2019,102.0000
Biomass imports,Solid,2019,76.0000
Coal imports,Coal,2019,72.6060
Coal reserves,Coal,2019,93.9650
Coal,Solid,2019,170.5710
District heating,Industry,2019,86.6390
District heating,Heating and cooling - commercial,2019,69.5050
District heating,Heating and cooling - homes,2019,133.1840
Electricity grid,Over generation / exports,2019,142.4530
Electricity grid,Heating and cooling - homes,2019,119.7260
Electricity grid,H2 conversion,2019,86.1400
Electricity grid,Industry,2019,417.1650
Electricity grid,Road transport,2019,92.7970
Electricity grid,Agriculture,2019,24.4120
Electricity grid,Heating and cooling - commercial,2019,137.8580
Electricity grid,Losses,2019,91.6910
Electricity grid,Rail transport,2019,29.8630
Electricity grid,Lighting & appliances - commercial,2019,106.0080
Electricity grid,Lighting & appliances - homes,2019,160.4940
Gas imports,Ngas,2019,101.7190
Gas reserves,Ngas,2019,145.2330
Gas,Heating and cooling - commercial,2019,65.1290
Gas,Losses,2019,7.4010
Gas,Thermal generation,2019,183.8910
Gas,Agriculture,2019,7.0960
Gas,Industry,2019,61.5800
Geothermal,Electricity grid,2019,80.0130
H2 conversion,H2,2019,44.8970
H2 conversion,Losses,2019,14.2420
H2,Road transport,2019,77.8970
Hydro,Electricity grid,2019,15.9950
Liquid,Industry,2019,160.0660
Liquid,International shipping,2019,154.6900
Liquid,Road transport,2019,195.8350
Liquid,Domestic aviation,2019,61.4580
Liquid,International aviation,2019,240.2670
Liquid,Agriculture,2019,37.6400
Liquid,National navigation,2019,119.2180
Liquid,Rail transport,2019,40.4130
Marine algae,Bio-conversion,2019,92.3750
Ngas,Gas,2019,186.9520
Nuclear,Thermal generation,2019,889.9780
Oil imports,Oil,2019,598.2870
Oil reserves,Oil,2019,112.7030
Oil,Liquid,2019,660.9900
Other waste,Solid,2019,69.5870
Other waste,Bio-conversion,2019,92.8100
Pumped heat,Heating and cooling - homes,2019,239.0260
Pumped heat,Heating and cooling - commercial,2019,90.6720
Solar PV,Electricity grid,2019,115.9010
Solar Thermal,Heating and cooling - homes,2019,107.2630
Solar,Solar Thermal,2019,66.2630
Solar,Solar PV,2019,128.9010
Solid,Agriculture,2019,59.8820
Solid,Thermal generation,2019,455.1200
Solid,Industry,2019,83.4770
Thermal generation,Electricity grid,2019,593.5310
Thermal generation,Losses,2019,815.1290
Thermal generation,District heating,2019,94.3290
Tidal,Electricity grid,2019,60.4520
UK land based bioenergy,Bio-conversion,2019,211.0100
Wave,Electricity grid,2019,103.0130
Wind,Electricity grid,2019,342.3660
Agricultural 'waste',Bio-conversion,2020,142.7290
Bio-conversion,Liquid,2020,52.5970
Bio-conversion,Losses,2020,38.8620
Bio-conversion,Solid,2020,311.3220
Bio-conversion,Gas,2020,104.1440
Biofuel imports,Liquid,2020,81.0000
Biomass imports,Solid,2020,105.0000
Coal imports,Coal,2020,94.6060
Coal reserves,Coal,2020,78.9650
Coal,Solid,2020,131.5710
District heating,Industry,2020,67.6390
District heating,Heating and cooling - commercial,2020,66.5050
District heating,Heating and cooling - homes,2020,123.1840
Electricity grid,Over generation / exports,2020,173.4530
Electricity grid,Heating and cooling - homes,2020,189.7260
Electricity grid,H2 conversion,2020,83.1400
Electricity grid,Industry,2020,383.1650
Electricity grid,Road transport,2020,48.7970
Electricity grid,Agriculture,2020,25.4120
Electricity grid,Heating and cooling - commercial,2020,93.8580
Electricity grid,Losses,2020,129.6910
Electricity grid,Rail transport,2020,65.8630
Electricity grid,Lighting & appliances - commercial,2020,159.0080
Electricity grid,Lighting & appliances - homes,2020,123.4940
Gas imports,Ngas,2020,57.7190
Gas reserves,Ngas,2020,125.2330
Gas,Heating and cooling - commercial,2020,47.1290
Gas,Losses,2020,22.4010
Gas,Thermal generation,2020,196.8910
Gas,Agriculture,2020,87.0960
Gas,Industry,2020,130.5800
Geothermal,Electricity grid,2020,69.0130
H2 conversion,H2,2020,35.8970
H2 conversion,Losses,2020,71.2420
H2,Road transport,2020,106.8970
Hydro,Electricity grid,2020,34.9950
Liquid,Industry,2020,196.0660
Liquid,International shipping,2020,205.6900
Liquid,Road transport,2020,213.8350
Liquid,Domestic aviation,2020,112.4580
Liquid,International aviation,2020,279.2670
Liquid,Agriculture,2020,88.6400
Liquid,National navigation,2020,77.2180
Liquid,Rail transport,2020,46.4130
Marine algae,Bio-conversion,2020,62.3750
Ngas,Gas,2020,195.9520
Nuclear,Thermal generation,2020,870.9780
Oil imports,Oil,2020,583.2870
Oil reserves,Oil,2020,206.7030
Oil,Liquid,2020,670.9900
Other waste,Solid,2020,86.5870
Other waste,Bio-conversion,2020,108.8100
Pumped heat,Heating and cooling - homes,2020,254.0260
Pumped heat,Heating and cooling - commercial,2020,89.6720
Solar PV,Electricity grid,2020,79.9010
Solar Thermal,Heating and cooling - homes,2020,52.2630
Solar,Solar Thermal,2020,96.2630
Solar,Solar PV,2020,86.9010
Solid,Agriculture,2020,61.8820
Solid,Thermal generation,2020,491.1200
Solid,Industry,2020,59.4770
Thermal generation,Electricity grid,2020,607.5310
Thermal generation,Losses,2020,875.1290
Thermal generation,District heating,2020,174.3290
Tidal,Electricity grid,2020,52.4520
UK land based bioenergy,Bio-conversion,2020,199.0100
Wave,Electricity grid,2020,37.0130
Wind,Electricity grid,2020,370.3660
Agricultural 'waste',Bio-conversion,2021,141.7290
Bio-conversion,Liquid,2021,70.5970
Bio-conversion,Losses,2021,64.8620
Bio-conversion,Solid,2021,316.3220
Bio-conversion,Gas,2021,167.1440
Biofuel imports,Liquid,2021,60.0000
Biomass imports,Solid,2021,56.0000
Coal imports,Coal,2021,64.6060
Coal reserves,Coal,2021,86.9650
Coal,Solid,2021,164.5710
District heating,Industry,2021,12.6390
District heating,Heating and cooling - commercial,2021,88.5050
District heating,Heating and cooling - homes,2021,135.1840
Electricity grid,Over generation / exports,2021,120.4530
Electricity grid,Heating and cooling - homes,2021,167.7260
Electricity grid,H2 conversion,2021,37.1400
Electricity grid,Industry,2021,398.1650
Electricity grid,Road transport,2021,89.7970
Electricity grid,Agriculture,2021,65.4120
Electricity grid,Heating and cooling - commercial,2021,115.8580
Electricity grid,Losses,2021,116.6910
Electricity grid,Rail transport,2021,80.8630
Electricity grid,Lighting & appliances - commercial,2021,90.0080
Electricity grid,Lighting & appliances - homes,2021,161.4940
Gas imports,Ngas,2021,42.7190
Gas reserves,Ngas,2021,129.2330
Gas,Heating and cooling - commercial,2021,67.1290
Gas,Losses,2021,1.4010
Gas,Thermal generation,2021,208.8910
Gas,Agriculture,2021,24.0960
Gas,Industry,2021,55.5800
Geothermal,Electricity grid,2021,48.0130
H2 conversion,H2,2021,21.8970
H2 conversion,Losses,2021,59.2420
H2,Road transport,2021,91.8970
Hydro,Electricity grid,2021,36.9950
Liquid,Industry,2021,144.0660
Liquid,International shipping,2021,130.6900
Liquid,Road transport,2021,167.8350
Liquid,Domestic aviation,2021,86.4580
Liquid,International aviation,2021,253.2670
Liquid,Agriculture,2021,37.6400
Liquid,National navigation,2021,101.2180
Liquid,Rail transport,2021,82.4130
Marine algae,Bio-conversion,2021,45.3750
Ngas,Gas,2021,140.9520
Nuclear,Thermal generation,2021,870.9780
Oil imports,Oil,2021,586.2870
Oil reserves,Oil,2021,185.7030
Oil,Liquid,2021,706.9900
Other waste,Solid,2021,59.5870
Other waste,Bio-conversion,2021,128.8100
Pumped heat,Heating and cooling - homes,2021,286.0260
Pumped heat,Heating and cooling - commercial,2021,116.6720
Solar PV,Electricity grid,2021,77.9010
Solar Thermal,Heating and cooling - homes,2021,86.2630
Solar,Solar Thermal,2021,116.2630
Solar,Solar PV,2021,143.9010
Solid,Agriculture,2021,14.8820
Solid,Thermal generation,2021,451.1200
Solid,Industry,2021,87.4770
Thermal generation,Electricity grid,2021,531.5310
Thermal generation,Losses,2021,871.1290
Thermal generation,District heating,2021,153.3290
Tidal,Electricity grid,2021,27.4520
UK land based bioenergy,Bio-conversion,2021,183.0100
Wave,Electricity grid,2021,30.0130
Wind,Electricity grid,2021,297.3660
Agricultural 'waste',Bio-conversion,2022,125.7290
Bio-conversion,Liquid,2022,48.5970
Bio-conversion,Losses,2022,33.8620
Bio-conversion,Solid,2022,285.3220
Bio-conversion,Gas,2022,147.1440
Biofuel imports,Liquid,2022,92.0000
Biomass imports,Solid,2022,69.0000
Coal imports,Coal,2022,89.6060
Coal reserves,Coal,2022,133.9650
Coal,Solid,2022,145.5710
District heating,Industry,2022,100.6390
District heating,Heating and cooling - commercial,2022,65.5050
District heating,Heating and cooling - homes,2022,133.1840
Electricity grid,Over generation / exports,2022,165.4530
Electricity grid,Heating and cooling - homes,2022,175.7260
Electricity grid,H2 conversion,2022,51.1400
Electricity grid,Industry,2022,374.1650
Electricity grid,Road transport,2022,58.7970
Electricity grid,Agriculture,2022,84.4120
Electricity grid,Heating and cooling - commercial,2022,53.8580
Electricity grid,Losses,2022,83.6910
Electricity grid,Rail transport,2022,32.8630
Electricity grid,Lighting & appliances - commercial,2022,128.0080
Electricity grid,Lighting & appliances - homes,2022,176.4940
Gas imports,Ngas,2022,63.7190
Gas reserves,Ngas,2022,180.2330
Gas,Heating and cooling - commercial,2022,77.1290
Gas,Losses,2022,63.4010
Gas,Thermal generation,2022,202.8910
Gas,Agriculture,2022,53.0960
Gas,Industry,2022,116.5800
Geothermal,Electricity grid,2022,106.0130
H2 conversion,H2,2022,47.8970
H2 conversion,Losses,2022,19.2420
H2,Road transport,2022,93.8970
Hydro,Electricity grid,2022,9.9950
Liquid,Industry,2022,143.0660
Liquid,International shipping,2022,199.6900
Liquid,Road transport,2022,176.8350
Liquid,Domestic aviation,2022,14.4580
Liquid,International aviation,2022,213.2670
Liquid,Agriculture,2022,79.6400
Liquid,National navigation,2022,53.2180
Liquid,Rail transport,2022,19.4130
Marine algae,Bio-conversion,2022,100.3750
Ngas,Gas,2022,191.9520
Nuclear,Thermal generation,2022,923.9780
Oil imports,Oil,2022,516.2870
Oil reserves,Oil,2022,177.7030
Oil,Liquid,2022,689.9900
Other waste,Solid,2022,74.5870
Other waste,Bio-conversion,2022,97.8100
Pumped heat,Heating and cooling - homes,2022,240.0260
Pumped heat,Heating and cooling - commercial,2022,109.6720
Solar PV,Electricity grid,2022,76.9010
Solar Thermal,Heating and cooling - homes,2022,43.2630
Solar,Solar Thermal,2022,37.2630
Solar,Solar PV,2022,115.9010
Solid,Agriculture,2022,29.8820
Solid,Thermal generation,2022,432.1200
Solid,Industry,2022,81.4770
Thermal generation,Electricity grid,2022,535.5310
Thermal generation,Losses,2022,822.1290
Thermal generation,District heating,2022,160.3290
Tidal,Electricity grid,2022,102.4520
UK land based bioenergy,Bio-conversion,2022,218.0100
Wave,Electricity grid,2022,73.0130
Wind,Electricity grid,2022,368.3660
Agricultural 'waste',Bio-conversion,2023,219.7290
Bio-conversion,Liquid,2023,85.5970
Bio-conversion,Losses,2023,83.8620
Bio-conversion,Solid,2023,336.3220
Bio-conversion,Gas,2023,92.1440
Biofuel imports,Liquid,2023,131.0000
Biomass imports,Solid,2023,120.0000
Coal imports,Coal,2023,29.6060
Coal reserves,Coal,2023,159.9650
Coal,Solid,2023,129.5710
District heating,Industry,2023,83.6390
District heating,Heating and cooling - commercial,2023,77.5050
District heating,Heating and cooling - homes,2023,49.1840
Electricity grid,Over generation / exports,2023,142.4530
Electricity grid,Heating and cooling - homes,2023,124.7260
Electricity grid,H2 conversion,2023,49.1400
Electricity grid,Industry,2023,413.1650
Electricity grid,Road transport,2023,93.7970
Electricity grid,Agriculture,2023,46.4120
Electricity grid,Heating and cooling - commercial,2023,99.8580
Electricity grid,Losses,2023,68.6910
Electricity grid,Rail transport,2023,32.8630
Electricity grid,Lighting & appliances - commercial,2023,144.0080
Electricity grid,Lighting & appliances - homes,2023,183.4940
Gas imports,Ngas,2023,130.7190
Gas reserves,Ngas,2023,153.2330
Gas,Heating and cooling - commercial,2023,37.1290
Gas,Losses,2023,62.4010
Gas,Thermal generation,2023,173.8910
Gas,Agriculture,2023,31.0960
Gas,Industry,2023,135.5800
Geothermal,Electricity grid,2023,96.0130
H2 conversion,H2,2023,96.8970
H2 conversion,Losses,2023,58.2420
H2,Road transport,2023,100.8970
Hydro,Electricity grid,2023,43.9950
Liquid,Industry,2023,122.0660
Liquid,International shipping,2023,133.6900
Liquid,Road transport,2023,194.8350
Liquid,Domestic aviation,2023,27.4580
Liquid,International aviation,2023,294.2670
Liquid,Agriculture,2023,40.6400
Liquid,National navigation,2023,81.2180
Liquid,Rail transport,2023,7.4130
Marine algae,Bio-conversion,2023,71.3750
Ngas,Gas,2023,129.9520
Nuclear,Thermal generation,2023,842.9780
Oil imports,Oil,2023,555.2870
Oil reserves,Oil,2023,139.7030
Oil,Liquid,2023,621.9900
Other waste,Solid,2023,92.5870
Other waste,Bio-conversion,2023,82.8100
Pumped heat,Heating and cooling - homes,2023,262.0260
Pumped heat,Heating and cooling - commercial,2023,139.6720
Solar PV,Electricity grid,2023,132.9010
Solar Thermal,Heating and cooling - homes,2023,51.2630
Solar,Solar Thermal,2023,89.2630
Solar,Solar PV,2023,103.9010
Solid,Agriculture,2023,10.8820
Solid,Thermal generation,2023,428.1200
Solid,Industry,2023,130.4770
Thermal generation,Electricity grid,2023,591.5310
Thermal generation,Losses,2023,802.1290
Thermal generation,District heating,2023,89.3290
Tidal,Electricity grid,2023,73.4520
UK land based bioenergy,Bio-conversion,2023,266.0100
Wave,Electricity grid,2023,100.0130
Wind,Electricity grid,2023,380.3660
Agricultural 'waste',Bio-conversion,2024,160.7290
Bio-conversion,Liquid,2024,45.5970
Bio-conversion,Losses,2024,104.8620
Bio-conversion,Solid,2024,378.3220
Bio-conversion,Gas,2024,171.1440
Biofuel imports,Liquid,2024,47.0000
Biomass imports,Solid,2024,80.0000
Coal imports,Coal,2024,50.6060
Coal reserves,Coal,2024,151.9650
Coal,Solid,2024,145.5710
District heating,Industry,2024,47.6390
District heating,Heating and cooling - commercial,2024,72.5050
