world_4region,time,hmless_nd
americas,1991,99706
americas,1992,517814
americas,1993,102732
americas,1994,214753
americas,1995,202617
americas,1996,169461
americas,1997,162624
americas,1998,148624
americas,1999,1032990
americas,2000,286135
americas,2001,250702
americas,2002,33944
americas,2003,254116
americas,2004,68930
americas,2005,321028
americas,2006,1922
americas,2007,67289
americas,2008,42187
americas,2009,31120
americas,2010,876338
americas,2011,116523
americas,2012,282766
americas,2013,90959
americas,2014,86648
americas,2015,48964
americas,2016,16467
americas,2017,115527
americas,2018,12952
americas,2019,4559
americas,2020,886
asia,1900,0
asia,1901,24
asia,1902,0
asia,1903,0
asia,1904,2181
asia,1905,0
asia,1906,25689
asia,1907,0
asia,1908,0
asia,1909,3294
asia,1910,0
asia,1911,1266
asia,1912,0
asia,1913,0
asia,1914,1920
asia,1915,0
asia,1916,2133
asia,1917,390
asia,1918,0
asia,1919,0
asia,1920,0
asia,1921,0
asia,1922,417
asia,1923,25000
asia,1924,11250
asia,1925,11499
asia,1926,40000
asia,1927,180152
asia,1928,2000
asia,1929,0
asia,1930,25551
asia,1931,0
asia,1932,5825
asia,1933,3600150
asia,1934,0
asia,1935,239535
asia,1936,221465
asia,1937,0
asia,1938,4710
asia,1939,5337
asia,1940,63730
asia,1941,40759
asia,1942,0
asia,1943,23217
asia,1944,90538
asia,1945,23663
asia,1946,3500
asia,1947,0
asia,1948,321000
asia,1949,5050
asia,1950,0
asia,1951,161360
asia,1952,4509
asia,1953,0
asia,1954,0
asia,1955,375000
asia,1956,77000
asia,1957,0
asia,1958,475
asia,1959,0
asia,1960,0
asia,1961,3171
asia,1962,0
asia,1963,2200
asia,1964,176000
asia,1965,5031414
asia,1966,658163
asia,1967,135375
asia,1968,956037
asia,1969,104188
asia,1970,427448
asia,1971,2062500
asia,1972,737502
asia,1973,59290
asia,1974,2086641
asia,1975,7004128
asia,1976,202534
asia,1977,5703210
asia,1978,192784
asia,1979,691176
asia,1980,1402479
asia,1981,289958
asia,1982,820283
asia,1983,1033541
asia,1984,1744526
asia,1985,1210256
asia,1986,4197923
asia,1987,1258539
asia,1988,3512921
asia,1989,1421870
asia,1990,1767628
asia,1991,6295219
asia,1992,4091015
asia,1993,1066262
asia,1994,7887885
asia,1995,5057816
asia,1996,6662314
asia,1997,2605502
asia,1998,28816950
asia,1999,4433638
asia,2000,1111328
asia,2001,2840962
asia,2002,93765
asia,2003,2251291
asia,2004,2102500
asia,2005,5818548
asia,2006,6054505
asia,2007,415929
asia,2008,2923168
asia,2009,344445
asia,2010,1282799
asia,2011,1724707
asia,2012,546700
asia,2013,228602
asia,2014,1235293
asia,2015,350333
asia,2016,2266806
asia,2017,211650
asia,2018,300050
asia,2019,378556
asia,2020,13070
europe,1900,0
europe,1901,0
europe,1902,0
europe,1903,0
europe,1904,0
europe,1905,20100
europe,1906,0
europe,1907,0
europe,1908,0
europe,1909,0
europe,1910,0
europe,1911,0
europe,1912,16620
europe,1913,0
europe,1914,51669
europe,1915,0
europe,1916,0
europe,1917,0
europe,1918,0
europe,1919,0
europe,1920,0
europe,1921,0
europe,1922,0
europe,1923,0
europe,1924,1140
europe,1925,6129
europe,1926,0
europe,1927,0
europe,1928,0
europe,1929,0
europe,1930,0
europe,1931,0
europe,1932,12318
europe,1933,0
europe,1934,0
europe,1935,0
europe,1936,0
europe,1937,0
europe,1938,0
europe,1939,0
europe,1940,0
europe,1941,0
europe,1942,0
europe,1943,0
europe,1944,14000
europe,1945,0
europe,1946,0
europe,1947,35000
europe,1948,1220
europe,1949,0
europe,1950,0
europe,1951,173500
europe,1952,0
europe,1953,145365
europe,1954,5466
europe,1955,1377
europe,1956,0
europe,1957,0
europe,1958,0
europe,1959,0
europe,1960,0
europe,1961,0
europe,1962,30000
europe,1963,0
europe,1964,0
europe,1965,0
europe,1966,1300000
europe,1967,88020
europe,1968,16600
europe,1969,0
europe,1970,1650
europe,1971,27465
europe,1972,0
europe,1973,0
europe,1974,0
europe,1975,0
europe,1976,197000
europe,1977,175000
europe,1978,2500
europe,1979,16000
europe,1980,0
europe,1981,0
europe,1982,6824
europe,1983,40000
europe,1984,4300
europe,1985,1340
europe,1986,3250
europe,1987,0
europe,1988,685
europe,1989,0
europe,1990,2500
europe,1991,13350
europe,1992,95000
europe,1993,200
europe,1994,43729
europe,1995,217150
europe,1996,11800
europe,1997,235089
europe,1998,191242
europe,1999,675822
europe,2000,20750
europe,2001,600
europe,2002,46316
europe,2003,48900
europe,2004,51099
europe,2005,800
europe,2006,5000
europe,2007,43663
europe,2008,938
europe,2009,60475
europe,2010,2870
europe,2011,47075
europe,2012,33401
europe,2013,2041
europe,2014,2260
europe,2015,1500
europe,2016,462
europe,2017,2700
europe,2018,21
europe,2019,0
europe,2020,26915
